Dahej,Guangdong Dapeng,Isle of Grain,Cape Town,Altamira,Dubai,Gwangyang,Aliaga,Melkoya Is,Shimizu,Chita,Karachi,Nagasaki,Ras Laffan,Marsa el Brega,Haikou,Yanai,Fukuoko,Map Ta Phut,Taichung,Canaport,Skikda,Sabine Pass,Mizushima,Futtsu,Shtokman,Yung An,Jiangsu,Quintero,Gladstone,Senboku,South Hook,Quebec,Bontang,Kitimat,Kochi,Barcelona,Darwin,Pyeongtaek,Himeji,Mejillones,Mina Al-Ahmadi,Costa Azul,Qalhat,Bahia Blanca,El Ferrol,Port Moresby,Golden Pass,Lake Charles,Manzanillo,Andres,Osaka,Guanabara Bay,Gate,Krk Island,Sendai,Bahia,Elba Is,Panuelas,Rovigo,Dabhol,Kagoshima,Swinoujscie,Cove Point,Panigaglia,Freeport,Sines,Cartagena,Tongyeong,Tenerife,Kenai,Teeside,Iran,Oita,Tobata,Bioko Is,Blang Lacang,Fujian,Balhaf,Livorno,Higashi-Ogishima,Pecem,Port Dolphin,Everett,Damietta,Wilhelmshaven,Neptune,Port Arthur,Tangguh,Pascagoula,Escobar,Shanghai,Heibei,Montoir,North East Gateway,Pampa Melchorita,Dalian,Idku,Sakhalin II,Dampier,Negishi,Soyo,Bilbao,Shin-minato,Bonny Is,Hatsukaichi,Huelva,from,Lumut,Yokkaichi,Zeebrugge,Sakai,Bintulu,Niigata,Gibraltar,Incheon,Sagunto,Arzew,Hazira,Cameron,Fos Sur Mer,Marmara Ereglisi,Point Fortin,Revithoussa,Singapore,Das Is,Kawagoe,Pluto,Yokohama,Sodegaura,Dragon LNG
5568,1701,11741,8580,15241,6393,733,9035,12975,121,205,5808,697,6546,9212,1949,512,614,3033,1244,13303,9755,15113,424,13,13040,1438,1155,9294,3837,357,11476,13405,2571,4042,4784,10010,3200,1032,380,9192,6771,4992,6031,10351,11015,3322,15116,15133,6002,13912,359,11516,11759,9685,298,11855,14037,13759,9712,5273,595,12486,13776,9900,15151,10617,10113,699,11059,3407,11965,6677,489,550,10928,3394,1294,6815,9867,16,12211,14786,13377,8463,11991,13364,15122,2619,14902,10810,1036,1336,11339,13364,8443,1175,8571,957,3734,,10338,11253,872,10955,515,10460,Negishi,2397,205,11694,356,2544,772,10337,1035,10083,10107,5487,15104,10005,9190,13787,9022,2906,6521,206,3731,10,20,11479
7089,8897,4894,1787,6770,7900,9922,5457,6096,10273,10230,7317,9856,8053,5208,8801,10034,9960,8198,9420,5412,4419,6641,10124,10345,6193,9065,10096,6377,9039,10147,4629,5686,7910,12153,6349,4334,7949,10037,10170,6968,8278,10660,7539,4496,4168,8988,6645,6662,9696,5097,10150,3391,4912,5492,10553,3061,5794,4914,5519,6794,9849,5640,5680,4693,6680,3807,4060,9967,3159,12889,5119,8184,10010,9980,712,6960,9480,7413,4689,10351,3075,6315,5476,5706,5145,5463,6651,8493,6431,4306,9706,10277,4492,5462,7585,10116,5631,10905,6988,10344,,4407,10405,739,10076,3818,Soyo,8157,10231,4848,10147,8053,10447,3820,10040,4222,4073,7008,6633,4512,5591,4619,5323,7441,8028,10232,6985,10346,10354,4632
6053,9853,786,5716,4923,5854,10878,2597,2098,11229,11186,5783,10812,6008,2348,9757,10989,10916,9154,10375,2854,1559,4795,11080,11301,2085,10021,11052,8596,12202,11103,552,2953,9718,14372,6539,1474,10145,10993,11126,9187,6233,12879,5471,6175,277,11158,4798,4815,11915,3711,11105,4788,804,2632,11509,4097,3659,3579,2659,6104,10804,1532,3383,1833,4833,694,1200,10923,1292,14618,1010,6138,10966,10936,4062,7916,10435,4553,1828,11307,3544,4469,2931,2845,1037,2918,4805,10380,4585,5909,10662,11233,250,2917,9804,11072,2771,11860,9576,11300,4417,,11361,3992,11032,890,Bilbao,9131,11187,740,11102,9027,11403,960,10995,1361,1213,6088,4786,1652,2731,3687,2463,8397,5983,11187,9573,11302,11310,555
5630,1743,11802,8642,15303,6454,586,9097,13036,918,909,5870,593,6608,9273,1991,553,500,3089,1264,13365,9816,15174,650,868,13101,1480,1026,9526,4424,725,11537,13467,2806,4034,4846,10071,3521,902,701,9239,6833,5041,6093,10927,11077,3885,15178,15195,6063,13974,726,11851,11820,9747,616,11917,14098,13821,9774,5334,774,12548,13838,9962,15213,10679,10175,540,11121,3400,12027,6738,553,473,10990,3456,1315,6877,9929,874,12273,14848,13439,8525,12053,13426,15184,2996,14964,11386,965,1206,11401,13426,8505,1046,8633,691,4013,867,10400,11315,,11017,597,10522,Shin-minato,2483,910,11756,725,2630,130,10399,905,10145,10168,5549,15166,10067,9252,13849,9084,2968,6582,910,4010,869,877,11540
7706,9515,4470,2404,6345,8290,10539,5033,5672,10890,10848,7934,10474,8444,4784,9419,10651,10578,8816,10037,4988,3995,6217,10741,10962,5769,9682,10714,6720,9656,10765,4205,5262,8527,12496,6966,3910,8566,10654,10788,7311,8669,11002,7907,4668,3744,9605,6220,6238,10038,4683,10767,3424,4488,5068,11170,2955,5369,4499,5095,7411,10466,5216,5256,4269,6256,3383,3636,10584,2734,13231,4694,8574,10628,10598,138,7577,10097,6989,4264,10968,2831,5891,5051,5281,4721,5038,6227,9110,6007,4439,10324,10894,4068,5038,7927,10733,5207,11522,7605,10961,739,3982,11023,,10693,3394,Bonny Is,8774,10848,4424,10764,8671,11064,3396,10657,3797,3649,7626,6208,4088,5167,4231,4899,8059,8419,10849,7602,10963,10972,4208
5300,1414,11473,8312,14973,6125,308,8767,12707,452,407,5540,288,6278,8944,1661,60,189,2759,956,13035,9487,14845,107,522,12772,1151,731,9711,3957,183,11208,13137,2408,4486,4516,9742,3059,608,159,9577,6503,5436,5763,10600,10747,3418,14848,14865,6445,13644,183,11521,11491,9417,742,11587,13768,13491,9444,5004,307,12218,13508,9632,14883,10349,9845,275,10791,3851,11697,6409,96,126,10660,3126,1006,6547,9599,528,11943,14518,13109,8195,11723,13096,14854,2529,14634,11059,663,912,11071,13096,8887,751,8303,1106,3592,521,10070,10985,597,10687,,10192,Hatsukaichi,2137,407,11426,182,2284,639,10069,610,9815,9839,5219,14836,9737,8922,13519,8754,2638,6253,408,3589,523,531,11211
5231,9031,1341,5117,4852,5032,10056,1775,2575,10406,10364,4961,9990,5186,1526,8935,10167,10094,8332,9553,2905,737,4724,10258,10479,2640,9199,10230,8008,11380,10281,1076,3005,8896,13784,5717,652,9323,10171,10304,8599,5411,12291,4649,5607,615,10336,4727,4744,11327,3522,10283,4218,1359,1810,10686,3532,3636,3370,1837,5282,9982,2086,3382,1011,4762,217,378,10101,719,13796,1565,5316,10144,10114,3463,7094,9613,3731,1006,10485,3028,4398,2980,2023,1591,2967,4734,9558,4513,5338,9840,10411,939,2966,9216,10250,1949,11038,8754,10478,3818,853,10539,3394,10210,,Huelva,8309,10365,1294,10280,8205,10581,138,10173,539,391,5266,4715,830,1909,3406,1641,7575,5161,10365,8751,10480,10488,1079
5453,1586,11626,8465,15126,6278,618,8921,12860,135,9,5693,583,6431,9097,1834,397,499,2919,1130,13189,9640,14998,309,210,12925,1323,1040,9423,3876,242,11361,13291,2498,4174,4669,9895,3137,917,265,9324,6656,5124,5917,10425,10900,3351,15001,15018,6133,13798,244,11591,11644,9570,430,11740,13922,13645,9597,5158,481,12372,13662,9786,15036,10503,9998,584,10944,3539,11850,6562,374,435,10813,3279,1180,6701,9752,216,12096,14672,13263,8349,11877,13250,15008,2572,14787,10885,922,1221,11224,13249,8575,1060,8457,1090,3670,209,10223,11138,907,10840,400,10346,Yokkaichi,2283,,11580,241,2430,904,10222,920,9968,9992,5372,14989,9891,9075,13672,8907,2791,6406,8,3667,211,219,11364
3400,1186,9572,6404,13073,4224,2000,6867,10806,2326,2284,3640,1935,4378,7043,1115,2095,2038,1024,1505,11135,7586,12944,2185,2399,10871,1186,2182,9964,3681,2201,9307,11237,984,6350,2616,7841,2112,2123,2224,10343,4603,7294,3863,10104,8847,2881,12948,12965,8241,11744,2203,9613,9590,7517,2606,9679,11868,11591,7544,3104,1918,10318,11608,7732,12983,8449,7945,2045,8891,5716,9797,4508,2072,2058,8752,1226,1565,4647,7699,2404,10035,12618,11209,6295,9823,11196,12954,1657,12734,10092,1792,2363,9171,11196,10277,2202,6403,2983,2177,2398,8162,9085,2483,8779,2137,8292,Lumut,,2285,9526,2200,219,2525,8169,2126,7915,7938,3319,12936,7837,7022,11619,6854,738,4352,2285,2174,2399,2408,9310
6493,10293,130,6156,5120,6295,11318,3037,1458,11669,11626,6224,11252,6448,2788,10197,11430,11356,9594,10815,3005,1999,4992,11520,11741,1427,10461,11492,9024,12642,11543,496,2962,10159,14800,6980,1914,10585,11433,11566,9615,6673,13306,5912,6609,751,11598,4995,5012,12342,4000,11546,5222,146,3072,11949,4530,3829,3882,3099,6545,11245,873,3533,2273,5030,1134,1640,11363,1732,15058,352,6579,11406,11376,4502,8356,10875,4993,2268,11747,3972,4665,3081,3286,378,3068,5001,10820,4781,6342,11102,11673,618,3067,10231,11512,3211,12301,10016,11740,4857,756,11801,4433,11472,1330,Zeebrugge,9571,11627,,11543,9468,11843,1400,11436,1802,1653,6528,4983,2092,3171,4041,2903,8837,6423,11628,10013,11742,11750,499
5370,1492,11543,8382,15043,6195,436,8838,12777,296,251,5610,488,6348,9014,1740,188,317,2836,1034,13106,9557,14915,92,367,12842,1229,859,9555,3903,12,11278,13208,2444,4330,4586,9812,3087,735,47,9421,6573,5280,5834,10608,10817,3364,14918,14935,6290,13715,14,11591,11561,9487,586,11657,13839,13562,9514,5075,386,12289,13578,9703,14953,10420,9915,402,10861,3696,11767,6479,219,254,10730,3196,1085,6618,9669,372,12013,14589,13180,8266,11794,13167,14925,2540,14704,11067,791,1039,11141,13166,8731,879,8374,1234,3621,365,10140,11055,725,10757,182,10263,Sakai,2200,252,11497,,2347,767,10139,738,9885,9909,5289,14906,9808,8992,13589,8824,2708,6323,252,3617,367,376,11281
3296,1228,9469,6300,12969,4121,2147,6763,10703,2473,2431,3536,2082,4274,6940,1152,2242,2185,978,1652,11031,7483,12841,2332,2546,10768,1333,2329,10110,3828,2348,9204,11133,1130,6497,2512,7738,2258,2270,2371,10490,4499,7441,3760,10000,8743,3027,12844,12861,8388,11640,2350,9509,9487,7413,2753,9575,11765,11487,7440,3001,2065,10215,11504,7628,12879,8346,7841,2192,8787,5863,9693,4405,2219,2205,8648,1122,1712,4544,7595,2551,9931,12514,11106,6191,9720,11092,12850,1804,12630,9988,1939,2510,9067,11092,10424,2349,6299,3130,2074,2545,8058,8981,2630,8675,2284,8188,Bintulu,218,2432,9422,2347,,2672,8065,2273,7811,7835,3215,12832,7733,6918,11515,6750,634,4249,2432,2071,2546,2555,9207
5671,1785,11844,8683,15344,6496,624,9139,13078,818,901,5911,635,6650,9315,2033,595,542,3130,1306,13407,9858,15216,691,768,13143,1522,1064,9426,4413,767,11579,13509,2848,3934,4887,10113,3562,941,743,9139,6874,4940,6135,10826,11118,3898,15219,15237,5963,14016,768,11892,11862,9788,516,11959,14140,13863,9816,5376,816,12590,13880,10004,15254,10721,10217,578,11163,3299,12068,6780,595,515,11032,3497,1357,6919,9971,774,12314,14890,13481,8567,12095,13468,15226,3038,15006,11286,1006,1245,11442,13467,8405,1084,8675,603,4055,767,10441,11356,130,11059,639,10564,Niigata,2525,902,11798,767,2672,,10440,944,10186,10210,5591,15207,10109,9293,13890,9125,3009,6624,903,4051,768,777,11582
5105,8906,1412,5116,4913,4907,9930,1650,2646,10281,10239,4836,9865,5060,1400,8810,10042,9969,8206,9428,2975,611,4784,10132,10353,2711,9073,10104,8007,11254,10155,1147,3077,8771,13783,5592,526,9198,10045,10179,8598,5285,12290,4524,5606,686,10210,4788,4805,11326,3584,10158,4217,1430,1684,10561,3531,3708,3431,1711,5157,9857,2158,3448,885,4823,289,252,9975,731,13670,1637,5191,10019,9989,3462,6968,9488,3605,881,10359,3039,4458,3049,1898,1663,3036,4794,9432,4574,5337,9714,10285,1010,3035,9215,10124,1823,10913,8628,10352,3817,925,10414,3393,10084,132,Gibraltar,8183,10239,1366,10155,8080,10455,,10048,414,266,5141,4776,705,1783,3459,1516,7449,5035,10240,8625,10354,10362,1150
5266,1380,11439,8278,14939,6091,396,8734,12673,976,930,5506,492,6245,8910,1628,574,475,2725,868,13002,9453,14811,671,1046,12738,1117,291,10222,4289,747,11174,13104,2451,4800,4482,9708,3230,79,722,10005,6469,5806,5730,10994,10713,3749,14814,14832,6829,13611,747,11487,11457,9383,1266,11553,13735,13458,9410,4971,589,12185,13475,9599,14849,10316,9812,451,10757,4165,11663,6375,575,495,10627,3092,904,6514,9565,1052,11909,14485,13076,8162,11690,13063,14821,2744,14601,11453,510,466,11037,13062,9270,297,8270,1391,3658,1045,10036,10951,915,10654,618,10159,Incheon,2128,931,11393,746,2275,952,10035,,9781,9805,5186,14802,9704,8888,13485,8720,2604,6219,932,3655,1047,1055,11177
4853,8653,1812,5516,5312,4655,9678,1397,3046,10029,9986,4584,9612,4808,1148,8557,9790,9716,7954,9176,3375,382,5184,9880,10101,3111,8821,9852,8407,11002,9903,1547,3477,8519,14053,5340,156,8945,9793,9926,8998,5033,12690,4272,6006,1086,9958,5187,5204,11725,3984,9906,4617,1830,1432,10309,3931,4108,3831,1459,4905,9605,2558,3847,533,5222,689,170,9723,1130,13418,2036,4939,9766,9736,3862,6716,9235,3353,533,10107,3439,4858,3449,1646,2063,3436,5194,9180,4973,5737,9462,10033,1410,3435,9615,9872,1571,10661,8376,10100,4217,1324,10161,3792,9832,532,Sagunto,7931,9987,1766,9903,7828,10203,408,9796,,242,4888,5175,339,1530,3858,1263,7197,4783,9988,8373,10102,10110,1550
4874,8675,1669,5374,5170,4676,9700,1419,2904,10050,10008,4605,9634,4830,1170,8579,9811,9738,7976,9197,3232,381,5041,9902,10123,2968,8843,9874,8264,11024,9925,1404,3334,8540,14040,5361,352,8967,9815,9948,8855,5055,12547,4293,5863,944,9980,5045,5062,11583,3841,9927,4474,1688,1454,10330,3788,3965,3688,1481,4926,9626,2415,3705,685,5080,546,114,9745,988,13440,1894,4960,9788,9758,3719,6738,9257,3375,676,10129,3296,4715,3306,1667,1920,3293,5051,9202,4831,5594,9484,10055,1268,3293,9472,9894,1593,10682,8398,10122,4074,1182,10183,3650,9854,389,Arzew,7953,10009,1623,9924,7849,10225,266,9817,243,,4910,5033,525,1552,3716,1285,7219,4805,10009,8395,10124,10132,1407
227,4049,6535,5249,10035,1166,5074,3830,7769,5425,5382,530,5008,1320,4006,3953,5186,5112,3350,4572,8098,4549,9907,5276,5497,7834,4217,5248,10154,6398,5299,6270,8200,3915,9449,731,4804,4342,5189,5322,10745,1544,10392,821,8949,5809,5354,9911,9928,11392,8707,5302,8458,6553,4479,5705,8524,8831,8554,4507,249,5001,7281,8571,4695,9946,5412,4908,5119,5854,8814,6759,1450,5162,5132,7597,2112,4632,1610,4662,5503,8162,9581,8172,3258,6786,8159,9917,4576,9697,8937,4858,5429,6133,8158,11361,5268,3366,6057,3772,5496,7007,6047,5557,7624,5228,5255,Hazira,3327,5383,6489,5299,3224,5599,5131,5192,4878,4901,,9898,4800,3984,8582,3816,2593,1294,5384,3769,5498,5506,6273
9873,13673,5032,7491,529,9675,14698,6417,5432,15049,15006,9604,14632,9828,6168,13577,14810,14736,12974,14196,2307,5379,46,14900,15121,6035,13841,14872,9149,13570,14923,4635,3156,13539,14925,10360,5294,13616,14813,14946,9740,10053,13432,9292,6732,4557,14372,49,29,12468,1623,14926,5345,5050,6452,15329,4652,1338,1791,6479,9925,14625,5482,1785,5653,134,4581,5020,14743,4385,15660,5062,9959,14786,14756,6278,11736,14255,8373,5648,15127,3829,682,2156,6666,5267,2143,55,14160,463,6465,14482,15053,4779,2142,10357,14892,6591,15681,12655,15120,6633,4786,15181,6208,14852,4710,Cameron,12951,15007,4986,14923,12848,15223,4780,14816,5182,5033,9908,,5472,6551,2229,6283,12217,9803,15008,12652,15122,15130,4638
4777,8578,2105,5809,5605,4579,9602,1322,3339,9953,9911,4508,9537,4733,1077,8482,9714,9641,7879,9100,3667,407,5477,9804,10026,3404,8745,9777,8700,10926,9828,1840,3769,8443,13977,5264,193,8870,9717,9851,9291,4957,12982,4196,6299,1379,9883,5480,5497,12018,4276,9830,4910,2123,1356,10233,4223,4401,4123,1384,4829,9529,2850,4140,254,5515,982,463,9647,1423,13343,2329,4863,9691,9661,4155,6640,9160,3277,258,10031,3732,5150,3742,1570,2356,3728,5486,9104,5266,6030,9387,9957,1703,3728,9907,9797,1495,10585,8301,10024,4509,1617,10086,4085,9756,824,Fos Sur Mer,7855,9911,2058,9827,7752,10128,701,9720,338,524,4813,5468,,1456,4151,1188,7122,4707,9912,8298,10026,10035,1843
3960,7760,3189,6893,6689,3761,8785,245,4423,9136,9093,3691,8719,3915,807,7664,8897,8823,7061,8282,4751,1202,6561,8987,9208,4488,7928,8959,9784,10109,9010,2924,4853,7626,13160,4447,1458,8052,8900,9033,10375,4140,14066,3379,7383,2463,9065,6564,6581,13102,5360,9013,5993,3207,1106,9416,5307,5484,5207,1133,4011,8712,3934,5224,1348,6599,2065,1560,8830,2507,12525,3413,4045,8873,8843,5239,5823,8342,2460,1315,9214,4815,6234,4825,756,3439,4812,6570,8287,6350,7113,8569,9140,2787,4812,10991,8979,720,9768,7483,9207,5593,2701,9268,5169,8939,1908,Marmara Ereglisi,7038,9094,3142,9010,6935,9310,1784,8903,1530,1554,3995,6552,1453,,5235,345,6304,3890,9095,7480,9209,9217,2927
8555,12355,4092,5394,2334,8357,13380,5099,4795,13731,13688,8286,13314,8510,4850,12259,13492,13418,11656,12878,2148,4061,2238,13582,13803,5263,12523,13554,7052,11473,13605,3733,2818,11481,12828,9042,3976,11519,13495,13628,7643,8735,11335,7974,4635,3451,12275,2241,2258,10371,707,13608,3248,4110,5134,14011,2555,1720,566,5161,8607,13307,4709,1900,4335,2272,3315,3702,13425,2855,13564,4290,8641,13468,13438,4301,10418,12937,7055,4330,13809,1732,2041,2046,5348,4343,2033,2248,12063,2116,4369,13164,13735,3758,2032,8260,13574,5273,14363,10558,13802,4619,3687,13863,4231,13534,3406,Point Fortin,11633,13689,4046,13605,11530,13905,3462,13498,3864,3715,8590,2229,4154,5233,,4965,10899,8485,13690,10555,13804,13812,3736
