from,Aliaga,Altamira,Andres,Arzew,Bahia,Bahia Blanca,Balhaf,Barcelona,Bilbao,Bintulu,Bioko Is,Blang Lacang,Bonny Is,Bontang,Cameron,Canaport,Cape Town,Cartagena,Chita,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Damietta,Dampier,Darwin,Das Is,Dragon LNG,Dubai,El Ferrol,Elba Is,Escobar,Everett,Fos Sur Mer,Freeport,Fujian,Fukuoko,Futtsu,Gate,Gibraltar,Gladstone,Golden Pass,Guanabara Bay,Guangdong Dapeng,Gwangyang,Haikou,Hatsukaichi,Hazira,Heibei,Higashi-Ogishima,Himeji,Huelva,Idku,Incheon,Iran,Isle of Grain,Jiangsu,Kagoshima,Karachi,Kawagoe,Kenai,Kitimat,Kochi,Krk Island,Lake Charles,Livorno,Lumut,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Melkoya Is,Mina Al-Ahmadi,Mizushima,Montoir,Nagasaki,Negishi,Neptune,Niigata,North East Gateway,Oita,Osaka,Pampa Melchorita,Panigaglia,Panuelas,Pascagoula,Pecem,Pluto,Point Fortin,Port Arthur,Port Dolphin,Port Moresby,Pyeongtaek,Qalhat,Quebec,Quintero,Ras Laffan,Revithoussa,Rovigo,Sabine Pass,Sagunto,Sakai,Sakhalin II,Senboku,Sendai,Shanghai,Shimizu,Shin-minato,Shtokman,Sines,Singapore,Skikda,Sodegaura,South Hook,Soyo,Swinoujscie,Taichung,Tangguh,Teeside,Tenerife,Tobata,Tongyeong,Wilhelmshaven,Yanai,Yokkaichi,Yokohama,Yung An,Zeebrugge
Dabhol,3849,10054,8726,4920,8309,8735,1629,4823,6066,3009,7383,1897,7410,3700,9917,8117,5034,4927,5168,10177,8590,,330,5053,3277,3558,4127,1333,6292,1205,5828,8850,8722,8191,4819,9964,4417,4898,5282,6572,5150,6183,9929,8243,3835,4859,3739,5013,249,5214,5288,5108,5274,3385,4977,1489,6554,5034,4786,597,5169,8600,9234,516,4498,9946,4680,3112,11178,3136,4003,4025,10530,7788,1584,5061,6152,4794,5281,8178,5384,8177,4948,5087,11147,4714,8573,9716,8181,3554,8600,9936,9600,5139,4974,845,8219,9939,1359,3835,4525,9926,4896,5084,5842,5085,5490,4644,5210,5343,7853,5431,2379,4568,5292,6289,6792,7300,4357,4361,6778,5872,4918,4904,6805,4971,5168,5283,4002,6508
Dahej,3795,10001,8672,4867,8608,9033,1575,4770,6013,3307,7681,2196,7708,3998,9864,8063,5333,4873,5466,10476,8536,333,,5352,3223,3856,4425,1260,6239,1131,5775,8797,9021,8138,4765,9911,4715,5196,5581,6519,5097,6481,9876,8542,4133,5158,4037,5311,234,5513,5586,5406,5220,3331,5275,1415,6501,5332,5084,495,5467,8898,9532,815,4445,9893,4627,3411,11476,3434,3950,3972,10828,7735,1510,5360,6099,5092,5580,8124,5683,8124,5246,5385,11445,4660,8519,9662,8128,3853,8547,9882,9546,5437,5273,786,8165,10237,1285,3782,4472,9873,4843,5382,6140,5383,5788,4942,5508,5641,7800,5378,2677,4515,5590,6236,7091,7246,4655,4660,6725,5819,5216,5203,6752,5269,5467,5581,4301,6454
Dalian,8806,15012,13683,9877,11626,11121,6586,9781,11024,2347,10699,3165,10726,2524,14875,13074,8351,9884,1068,5944,13547,5043,5339,,8234,3730,3329,6292,11250,6163,10786,13807,11581,13148,9776,14922,971,613,1184,11530,10108,4416,14887,11560,1453,534,1700,756,5258,218,1190,860,10231,8342,296,6447,11511,93,716,5579,1070,4303,4938,4555,9456,14904,9638,2200,6967,2798,8961,8983,10143,12746,6542,809,11110,620,1183,13135,1090,13135,713,885,9408,9671,13530,14673,11982,3727,13558,14893,14557,3876,293,5802,13176,10360,6317,8793,9483,14883,9854,884,1529,885,1404,562,1114,1053,12810,10388,2677,9526,1193,11246,10109,12257,935,2852,11736,10830,633,589,11762,712,1069,1185,1189,11465
Damietta,604,6806,5477,1671,5424,7499,1734,1574,2818,6209,5355,5097,5286,6900,6669,4868,7009,1678,8367,13377,5341,3286,3234,8253,,6757,7326,3164,3043,3036,2580,5601,7230,4942,1570,6716,7616,8097,8482,3323,1902,9383,6681,6110,7034,8059,6938,8213,3269,8414,8488,8307,2025,135,8177,3320,3305,8233,7986,2965,8369,11799,12434,3721,1253,6698,1432,6312,13219,6335,759,775,10491,4539,3414,8261,2904,7993,8481,4929,8584,4929,8147,8287,11108,1465,5324,6467,4932,6754,5352,6687,6351,8339,8174,2653,4970,9900,3189,591,1280,6677,1648,8284,9042,8284,8690,7843,8410,8542,4604,2182,5578,1319,8491,3040,5710,4051,7557,7561,3530,2624,8117,8104,3556,8171,8368,8483,7202,3259
Dampier,7320,12760,11106,8392,8505,8860,5100,8295,9538,2074,7578,2239,7605,1326,12655,11588,5230,8398,3667,8153,12044,3558,3853,3732,6748,,1041,4806,9764,4678,9300,12035,8918,11662,8290,12698,3095,3568,3734,10044,8622,3124,12667,8439,2788,3530,2874,3591,3772,3893,3739,3642,8745,6856,3655,4962,10026,3712,3398,4093,3668,6917,7521,3069,7970,12684,8152,2177,8828,2367,7475,7497,9220,11260,5056,3639,9624,3464,3732,11649,4055,11649,3525,3622,9404,8185,10947,12542,8861,10,10558,12674,12455,2080,3653,4317,11690,8787,4831,7307,7997,12664,8368,3619,4512,3619,3934,3322,3687,4013,11325,8903,1751,8040,3743,9761,6988,10771,3035,1703,10250,9344,3586,3575,10276,3548,3668,3734,2719,9979
Darwin,7890,13721,12067,8961,9466,9140,5670,8864,10107,2258,8539,2480,8566,1475,13616,12158,6191,8967,3135,7457,12630,4127,4422,3330,7318,1043,,5375,10333,5247,9869,12891,9599,12232,8860,13659,2721,3076,3202,10613,9191,2293,13628,9399,2578,3057,2664,3059,4341,3491,3208,3111,9315,7426,3226,5531,10595,3310,2867,4662,3137,6385,6990,3638,8539,13645,8721,2112,7997,2608,8044,8066,9088,11829,5625,3107,10193,2941,3201,12219,3562,12218,2994,3090,9115,8755,11908,13503,9822,1040,11519,13634,13416,1249,3224,4886,12260,8651,5400,7876,8566,13625,8937,3087,4020,3088,3402,2929,3156,3521,11894,9472,1992,8609,3211,10330,7949,11341,2661,1171,10819,9913,3055,3086,10846,3017,3136,3202,2439,10549
Das Is,3688,9894,8565,4760,8512,9942,1468,4663,5906,4228,8444,3116,8374,4919,9757,7956,6242,4766,6386,11396,8429,1304,1233,6272,3116,4776,5346,,6132,169,5668,8689,9929,8030,4658,9804,5636,6116,6501,6412,4990,7402,9769,9198,5053,6078,4957,6232,1269,6433,6507,6326,5113,3224,6196,296,6394,6252,6005,834,6388,9818,10453,1740,4338,9786,4520,4331,12396,4354,3843,3865,11734,7628,390,6280,5992,6012,6500,8017,6603,8017,6166,6306,12351,4553,8412,9555,8020,4773,8440,9775,9439,6358,6193,512,8058,11143,141,3675,4365,9766,4736,6303,7061,6303,6709,5862,6429,6561,7693,5270,3597,4408,6510,6129,8000,7139,5576,5580,6618,5712,6136,6123,6644,6190,6387,6502,5221,6347
Dragon LNG,2813,4774,3676,1429,4297,6375,4769,1690,560,9243,4278,8132,4208,9934,4637,2646,5932,1416,11402,13095,3174,6320,6268,11288,3061,9792,10361,6198,,6070,537,3470,6109,2722,1868,4684,10651,11132,11517,570,1176,12417,4649,4988,10069,11093,9973,11247,6304,11448,11522,11342,1106,2986,11211,6354,552,11268,11020,5999,11403,14834,14588,6755,2848,4666,2044,9347,12130,9370,2947,2564,9403,1595,6449,11296,408,11028,11516,2709,11619,2709,11182,11321,10020,2049,3563,4435,3732,9789,3736,4655,4319,11374,11209,5687,2591,8812,6224,2679,2875,4646,1577,11318,12076,11319,11724,10878,11444,11577,1851,910,8613,1775,11526,3,4632,1298,10591,10596,776,1507,11152,11139,803,11205,11403,11517,10237,505
Dubai,3584,9790,8461,4655,8408,9838,1364,4559,5802,4123,8339,3012,8270,4815,9653,7852,6137,4662,6282,11292,8325,1200,1129,6168,3012,4672,5241,162,6028,,5564,8585,9825,7926,4554,9700,5531,6012,6397,6308,4886,7298,9665,9094,4949,5974,4853,6128,1165,6329,6403,6222,5009,3120,6092,362,6290,6148,5901,729,6284,9714,10349,1636,4234,9682,4416,4227,12292,4250,3739,3761,11630,7524,457,6176,5888,5908,6396,7913,6499,7913,6062,6202,12247,4449,8308,9451,7916,4669,8336,9671,9335,6254,6089,408,7954,11039,217,3571,4261,9661,4632,6199,6957,6199,6605,5758,6325,6457,7589,5166,3493,4304,6406,6024,7895,7035,5471,5476,6514,5608,6032,6019,6540,6086,6283,6398,5117,6243
El Ferrol,2361,4694,3476,977,3861,5939,4317,1238,277,8792,3826,7680,3757,9483,4557,2640,5480,964,10950,12643,3164,5869,5817,10836,2610,9340,9910,5747,535,5619,,3433,5673,2716,1416,4604,10200,10680,11065,807,724,11966,4569,4552,9617,10642,9521,10796,5853,10997,11071,10890,654,2535,10760,5903,789,10816,10569,5548,10952,14382,14136,6304,2396,4586,1593,8895,11679,8918,2495,2112,8952,2051,5997,10844,368,10576,11064,2703,11167,2702,10730,10870,9568,1597,3343,4355,3308,9337,3451,4575,4239,10922,10757,5236,2738,8361,5772,2228,2423,4565,1126,10867,11625,10867,11273,10426,10993,11125,2088,458,8161,1323,11074,532,4181,1534,10140,10144,1013,1056,10700,10687,1039,10754,10951,11066,9785,742
Elba Is,5343,1475,1215,3959,4041,6120,7299,4220,3659,11773,5439,10662,5369,12465,1338,1122,6880,3946,13932,12821,596,8850,8799,13818,5592,12035,12891,8729,3469,8600,3433,,5854,971,4398,1385,13181,13662,14047,3895,3706,12959,1350,4734,12599,13624,12503,13778,8834,13979,14053,13872,3636,5517,13742,8884,3877,13798,13551,8530,13934,15049,14314,9286,5378,1367,4574,11877,11856,11900,5477,5094,9129,4271,8979,13826,3641,13558,14046,958,14149,958,13712,13852,9746,4579,1190,1136,3229,12032,1720,1356,1020,13761,13739,8218,1977,8538,8754,5209,5405,1347,4107,13849,14607,13849,14255,13408,13975,14107,4794,3495,11143,4305,14056,3466,5794,4241,13121,13126,3821,3386,13682,13669,4027,13736,13933,14048,12767,3830
Escobar,6978,6570,4917,5594,1894,701,8933,5855,5901,9983,4492,8890,4439,9840,6465,5904,3784,5580,10883,7468,5921,8724,9019,11578,7226,8917,9598,9958,6109,9829,5663,5854,,5882,6033,6508,11211,11117,10809,6400,5340,7607,6477,1193,10827,11215,10731,11058,8938,11739,10815,11087,5338,7151,11448,10113,6382,11558,10964,9247,10884,9697,8962,8279,7012,6495,6209,10087,6504,10128,7112,6729,3777,7520,10208,11131,5987,11062,10808,5869,11285,5869,10993,11067,4393,6213,4757,6353,2671,8914,4369,6484,6268,8409,11445,9468,6370,3186,9983,6844,7040,6474,5742,11063,11186,11064,10904,11267,10879,11385,7681,5322,9371,5940,10818,6106,4306,7128,11151,10097,6606,4667,11054,11203,6633,11016,10884,10809,10986,6336
Everett,4688,2291,1616,3304,4068,6147,6643,3565,2928,11118,5120,10006,5051,11809,2154,299,6733,3290,13277,12848,669,8195,8143,13162,4936,11666,12236,8073,2721,7945,2714,969,5881,,3743,2201,12526,13007,13391,3146,3050,12986,2166,4761,11944,12968,11848,13122,8179,13323,13397,13217,2980,4861,13086,8229,3128,13143,12895,7874,13278,15076,14341,8630,4722,2183,3919,11221,11883,11244,4821,4439,9156,3522,8323,13170,2893,12903,13390,25,13493,24,13057,13196,9773,3923,1585,1952,3289,11663,2043,2172,1836,13248,13083,7562,1213,8565,8098,4554,4750,2162,3452,13193,13951,13193,13599,12752,13319,13452,4046,2826,10488,3650,13401,2718,5475,3493,12466,12470,3073,2823,13027,13013,3279,13080,13277,13392,12111,3082
Fos Sur Mer,1322,5605,4276,524,4223,6299,3277,193,1617,7752,4155,6640,4085,8443,5468,3667,5809,463,9911,12982,4140,4829,4777,9797,1570,8301,8870,4707,1843,4579,1379,4401,6030,3742,,5515,9160,9641,10026,2123,701,10926,5480,4910,8578,9602,8482,9756,4813,9957,10031,9851,824,1495,9720,4863,2105,9777,9529,4508,9912,13343,13977,5264,1356,5497,258,7855,12018,7879,1456,1077,9291,3339,4957,9804,1703,9537,10024,3728,10128,3728,9691,9830,9907,254,4123,5266,3732,8298,4151,5486,5150,9883,9717,4196,3769,8700,4733,1188,1384,5477,338,9827,10585,9828,10233,9387,9953,10086,3404,982,7122,407,10035,1840,4509,2850,9100,9104,2329,1423,9661,9647,2356,9714,9911,10026,8745,2058
Freeport,6465,449,1666,5080,4695,6775,8420,5341,4833,12895,6325,11783,6256,13586,134,2354,7534,5067,15053,13475,1833,9972,9920,14939,6713,12698,13659,9850,4685,9722,4604,1385,6508,2203,5519,,14303,14784,15168,5097,4827,13613,120,5388,13721,14745,13625,14899,9956,15100,15174,14993,4758,6638,14863,10006,5079,14919,14672,9651,15055,15703,14968,10407,6499,163,5696,12998,12511,13021,6598,6215,9783,5480,10100,14947,4826,14680,15167,2190,15270,2189,14834,14973,10400,5700,1834,511,3872,12695,2272,126,729,14415,14860,9339,3203,9192,9875,6331,6526,117,5229,14970,15728,14970,15376,14529,15096,15229,6082,4628,12264,5426,15177,4682,6680,5529,14243,14203,5109,4432,14804,14790,5315,14857,15054,15169,13888,5033
Fujian,8171,14377,13048,9242,10991,10752,5951,9146,10389,1712,10064,2530,10091,1889,14240,12439,7716,9249,1182,6211,12912,4408,4704,973,7599,3095,2721,5657,10615,5528,10151,13172,11211,12513,9141,14287,,870,1297,10895,9473,3968,14252,10925,818,809,1065,1006,4623,1134,1303,1106,9596,7707,901,5812,10876,953,785,4944,1183,4574,5209,3920,8821,14269,9003,1565,7220,2163,8326,8348,10335,12111,5907,1054,10475,779,1296,12500,1357,12500,941,1088,9658,9036,12895,14038,11347,3092,12923,14258,13922,3429,898,5167,12541,10200,5682,8158,8848,14248,9219,1085,1800,1086,1517,563,1227,1315,12175,9753,2042,8891,1306,10611,9474,11622,147,2266,11101,10195,890,862,11127,964,1182,1298,554,10830
Fukuoko,8652,14858,13529,9723,11472,10659,6432,9626,10870,2185,10545,3011,10572,2361,14721,12920,8197,9730,501,5408,13393,4889,5185,607,8080,3568,3076,6137,11095,6009,10632,13653,11118,12994,9622,14768,870,,617,11375,9953,4016,14733,11406,1298,164,1546,189,5104,768,622,293,10077,8188,466,6293,11357,587,347,5425,502,3767,4402,4401,9302,14750,9484,2038,6431,2644,8807,8828,9607,12591,6388,242,10956,144,616,12981,542,12981,145,318,8873,9517,13376,14519,11828,3565,13404,14739,14403,3477,464,5648,13022,9793,6163,8639,9329,14729,9700,317,1009,317,836,520,547,500,12656,10234,2523,9371,626,11092,9955,12103,819,2570,11582,10676,65,149,11608,145,502,617,1035,11311
Futtsu,9042,15247,13919,10113,11862,10357,6822,10016,11259,2551,10935,3400,10962,2577,15110,13310,8587,10120,211,4999,13783,5279,5574,1182,8470,3740,3207,6527,11485,6399,11021,14043,10816,13384,10012,15158,1301,620,,11765,10343,3844,15123,11522,1708,739,1956,521,5494,1342,13,386,10467,8578,1041,6683,11747,1162,602,5815,212,3414,4048,4791,9691,15140,9874,2404,6008,3040,9196,9218,9199,12981,6778,430,11345,704,14,13371,779,13370,496,366,8450,9907,13766,14909,12218,3737,13794,15129,14793,3328,1038,6038,13412,9300,6553,9028,9719,15119,10090,363,964,363,304,1042,128,879,13046,10624,2912,9761,16,11482,10344,12493,1250,2626,11972,11066,557,705,11998,519,212,10,1445,11701
Gate,3098,5181,4061,1714,4591,6669,5054,1975,817,9528,4563,8417,4493,10219,5044,3066,6217,1701,11687,13367,3594,6605,6553,11573,3346,10077,10646,6483,560,6355,812,3889,6403,3142,2153,5091,10936,11417,11802,,1461,12702,5056,5282,10354,11379,10258,11532,6589,11733,11807,11627,1391,3271,11496,6639,157,11553,11305,6284,11688,15119,14860,7040,3133,5073,2329,9632,12403,9655,3232,2849,9675,1404,6734,11581,679,11313,11801,3129,11904,3128,11467,11606,10292,2334,3943,4842,4033,10074,4102,5062,4726,11659,11494,5972,3023,9084,6509,2964,3160,5052,1862,11603,12361,11604,12009,11163,11729,11862,1367,1195,8898,2060,11811,556,4917,813,10876,10881,304,1792,11437,11424,318,11490,11688,11802,10522,164
Gibraltar,1650,4913,3584,266,3531,5606,3605,526,925,8080,3462,6968,3393,8771,4776,2975,5116,252,10239,12290,3448,5157,5105,10124,1898,8628,9198,5035,1150,4907,686,3708,5337,3049,705,4823,9488,9969,10353,1430,,11254,4788,4217,8906,9930,8810,10084,5141,10285,10359,10179,132,1823,10048,5191,1412,10104,9857,4836,10240,13670,13783,5592,1684,4805,881,8183,11326,8206,1783,1400,8598,2646,5285,10132,1010,9865,10352,3036,10455,3035,10019,10158,9215,885,3431,4574,3039,8625,3459,4794,4458,10210,10045,4524,3077,8007,5060,1516,1711,4784,414,10155,10913,10155,10561,9714,10281,10414,2711,289,7449,611,10362,1147,3817,2158,9428,9432,1637,731,9989,9975,1663,10042,10239,10354,9073,1366
Gladstone,9946,13675,12021,11017,8993,7148,7726,10920,12164,3828,9626,4440,9653,3383,13570,13008,7278,11024,3873,6329,13025,6183,6478,4415,9374,3126,2293,7431,12389,7303,11925,12959,7608,12987,10916,13613,3968,4014,3835,12669,11247,,13582,8314,3973,4063,4190,3955,6398,4575,3840,3923,11371,9482,4285,7587,12651,4395,3823,6718,3874,5996,6357,5694,10596,13599,10778,3681,6740,4562,10100,10122,7177,13885,7682,3967,12249,3921,3833,12974,4411,12973,3890,3902,7272,10811,11862,13457,9776,3123,11473,13589,13373,1109,4282,6942,13475,6722,7457,9933,10623,13579,10994,3899,4491,3900,3957,4070,3838,4422,13950,11528,3952,10665,3844,12386,9036,13397,3909,2853,12876,11698,3951,4089,12902,3913,3873,3835,3742,12605
